movie_title,year,sequel,mpaa_rating,length_min,imdb_rating,metascore,gross_mil,director,director_dem,director_w,director_poc,star1,star1_dem,star_w,star_poc,studio,released,combined_dem,img
X-Men Origins: Wolverine,2009,0,PG-13,107,6.6,40,179.88,Gavin Hood,WM,0,0,Hugh Jackman,WM,0,0,X-Men,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/kqO36IYvWbRKMPiUeiVZUFH06Rc.jpg
Iron Man 2,2010,1,PG-13,124,7,57,312.43,Jon Favreau,WM,0,0,Robert Downey Jr.,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/8Z45cBP3IOA3A5SeWgU7wPKSZyo.jpg
Jonah Hex,2010,0,PG-13,81,4.7,33,10.54,Jimmy Hayward,WM,0,0,Josh Brolin,WM,0,0,DC,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/fhpl0NYcwQ8oUmur30L0ANOay4L.jpg
Captain America: The First Avenger,2011,0,PG-13,124,6.9,66,176.65,Joe Johnston,WM,0,0,Chris Evans,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg
X-Men: First Class,2011,0,PG-13,131,7.7,65,146.41,Matthew Vaughn,WM,0,0,James McAvoy,WM,0,0,X-Men,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/6fUZkO41K9KrlZByePqzKdJQd45.jpg
Thor,2011,0,PG-13,115,7,57,181.03,Kenneth Branagh,WM,0,0,Chris Hemsworth,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/9zDwvsISU8bR15R2yN3kh1lfqve.jpg
Green Lantern,2011,0,PG-13,114,5.5,39,116.6,Martin Campbell,WM,0,0,Ryan Reynolds,WM,0,0,DC,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/zUSEYp9G7Hk9GZIfbPoOiSHvwHV.jpg
Ghost Rider: Spirit of Vengeance,2011,1,PG-13,96,4.3,34,51.77,Mark Neveldine/Bryan Taylor,WM,0,0,Nicholas Cage,WM,0,0,Marvel,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/tqwWzmp5ISh64SJbNKQ9fyItnDj.jpg
The Dark Knight Rises,2012,2,PG-13,164,8.4,78,448.1,Christopher Nolan,WM,0,0,Christian Bale,WM,0,0,DC,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/dEYnvnUfXrqvqeRSqvIEtmzhoA8.jpg
The Avengers,2012,0,PG-13,143,8.1,69,623.36,Joss Whedon,WM,0,0,Robert Downey Jr.,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/cezWGskPY5x7GaglTTRN4Fugfb8.jpg
The Amazing Spider-Man,2012,0,PG-13,136,7,66,262.03,Marc Webb,WM,0,0,Andrew Garfield,WM,0,0,Marvel,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/eA2D86Y6VPWuUzZyatiLBwpTilQ.jpg
Iron Man 3,2013,2,PG-13,130,7.2,62,409.01,Shane Black,WM,0,0,Robert Downey Jr.,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/7XiGqZE8meUv7L4720L0tIDd7gO.jpg
The Wolverine,2013,1,PG-13,126,6.7,61,132.56,James Mangold,WM,0,0,Hugh Jackman,WM,0,0,X-Men,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/tpoaoBNCiFIkYvnUh1P65deS0Zu.jpg
Man of Steel,2013,0,PG-13,143,7.1,55,291.05,Zack Snyder,WM,0,0,Henry Cavill,WM,0,0,DCEU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/xWlaTLnD8NJMTT9PGOD9z5re1SL.jpg
Thor: The Dark World,2013,1,PG-13,112,7,54,206.36,Alan Taylor,WM,0,0,Chris Hemsworth,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/bnX5PqAdQZRXSw3aX3DutDcdso5.jpg
